,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,2,1,3289.4
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1,4,3,774.78
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,2,3,1462.75
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,3,4,7703.51
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,4,3,1,15274.54
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,2,0,3,13932.54
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4,3,1,4817.82
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,5,2,2547.08
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,1,3,2481.26
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4,2,7,2893.44
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,1,6,3,6433.33
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,4,3,5,877.88
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,4,0,5,1308.93
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,6,3,942.78
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,0,6,3,1664.06
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,4,5,2,1445.92
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1,1,2,389.46
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,16006.39
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,4,2,3822.98
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,4,3,7,834.7413333333332
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,2,2,4450.48
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,2,4,4,681.06
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,4,1,4602.73
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,4,4,4673.58
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,3,6,1,6938.16
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3,5,4,858.82
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,4,4,5,2404.22
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,3,2,1770.23
